"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"2500 - 2999 grams"	"06"	1034
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"3000 - 3499 grams"	"07"	1859
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"3500 - 3999 grams"	"08"	1075
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"4000 - 4499 grams"	"09"	237
	"Alabama"	"01"	"2019"	"2019"	"November"	"11"	"4500 - 4999 grams"	"10"	28
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"500 - 999 grams"	"02"	26
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"1000 - 1499 grams"	"03"	44
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"1500 - 1999 grams"	"04"	108
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"2000 - 2499 grams"	"05"	343
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"2500 - 2999 grams"	"06"	1108
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"3000 - 3499 grams"	"07"	2049
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"3500 - 3999 grams"	"08"	1124
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"4000 - 4499 grams"	"09"	260
	"Alabama"	"01"	"2019"	"2019"	"December"	"12"	"4500 - 4999 grams"	"10"	33
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"1500 - 1999 grams"	"04"	12
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"2000 - 2499 grams"	"05"	42
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"2500 - 2999 grams"	"06"	124
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"3000 - 3499 grams"	"07"	262
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"3500 - 3999 grams"	"08"	226
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"4000 - 4499 grams"	"09"	84
	"Alaska"	"02"	"2019"	"2019"	"January"	"1"	"4500 - 4999 grams"	"10"	14
	"Alaska"	"02"	"2019"	"2019"	"February"	"2"	"2000 - 2499 grams"	"05"	34
	"Alaska"	"02"	"2019"	"2019"	"February"	"2"	"2500 - 2999 grams"	"06"	124
	"Alaska"	"02"	"2019"	"2019"	"February"	"2"	"3000 - 3499 grams"	"07"	247
	"Alaska"	"02"	"2019"	"2019"	"February"	"2"	"3500 - 3999 grams"	"08"	244
	"Alaska"	"02"	"2019"	"2019"	"February"	"2"	"4000 - 4499 grams"	"09"	79
	"Alaska"	"02"	"2019"	"2019"	"February"	"2"	"4500 - 4999 grams"	"10"	13
	"Alaska"	"02"	"2019"	"2019"	"March"	"3"	"2000 - 2499 grams"	"05"	27
	"Alaska"	"02"	"2019"	"2019"	"March"	"3"	"2500 - 2999 grams"	"06"	124
	"Alaska"	"02"	"2019"	"2019"	"March"	"3"	"3000 - 3499 grams"	"07"	319
	"Alaska"	"02"	"2019"	"2019"	"March"	"3"	"3500 - 3999 grams"	"08"	275
